Tempo (s),Corrente i(t) [A],Tensão R [V],Tensão L [V],Tensão C [V]
0.0024424424424424425,2.5266755703035456e-05,0.0025266755703035456,0.009470945837132505,0.0002158982826784889
0.0024524524524524526,2.5456658808270458e-05,0.0025456658808270458,0.009499467589354695,0.00021844649677341083
0.0024624624624624623,2.5647132405781943e-05,0.0025647132405781942,0.009527913274481123,0.0002210137772945101
0.0024724724724724725,2.5838174936418787e-05,0.0025838174936418786,0.009556282988392216,0.00022360018119204955
0.0024824824824824826,2.6029784841029848e-05,0.002602978484102985,0.009584576826968397,0.0002262057652602207
0.0024924924924924923,2.622196056046398e-05,0.002622196056046398,0.009612794886090084,0.000228830586137144
0.0025025025025025025,2.6414700535570055e-05,0.0026414700535570055,0.009640937261637703,0.00023147470030486874
0.0025125125125125126,2.660800320719694e-05,0.002660800320719694,0.009669004049491675,0.00023413816408937292
0.0025225225225225223,2.680186701619348e-05,0.002680186701619348,0.00969699534553242,0.00023682103366056345
0.0025325325325325325,2.6996290403408556e-05,0.0026996290403408555,0.009724911245640365,0.00023952336503227606
0.0025425425425425426,2.7191271809691024e-05,0.0027191271809691026,0.009752751845695929,0.00024224521406227513
0.0025525525525525524,2.7386809675889742e-05,0.002738680967588974,0.009780517241579531,0.00024498663645225406
0.0025625625625625625,2.7582902442853584e-05,0.0027582902442853585,0.009808207529171602,0.00024774768774783507
0.0025725725725725727,2.7779548551431403e-05,0.0027779548551431403,0.009835822804352558,0.00025052842333856887
0.0025825825825825824,2.797674644247206e-05,0.002797674644247206,0.009863363163002821,0.0002533288984579355
0.0025925925925925925,2.817449455682443e-05,0.002817449455682443,0.009890828701002816,0.00025614916818334334
0.0026026026026026027,2.8372791335337365e-05,0.0028372791335337364,0.009918219514232964,0.0002589892874361298
0.0026126126126126124,2.8571635218859726e-05,0.0028571635218859726,0.009945535698573687,0.0002618493109815612
0.0026226226226226225,2.8771024648240388e-05,0.002877102464824039,0.009972777349905407,0.00026472929342883256
0.0026326326326326327,2.8970958064328208e-05,0.002897095806432821,0.009999944564108548,0.00026762928923106756
0.0026426426426426424,2.9171433907972035e-05,0.0029171433907972033,0.01002703743706353,0.000270549352685319
0.0026526526526526525,2.9372450620020755e-05,0.0029372450620020756,0.010054056064650778,0.0002734895379325684
